TimeStamp,AccX,AccY,AccZ,GravX,GravY,GravZ,MagAccuracy,MagX,MagY,MagZ,AttPitch,AttYaw,AttRoll,rotX,rotY,rotZ
1497906158.41776,0.00891268625855446,0.00453110923990607,0.000111963359813672,0.0013564785476774,-0.992476642131805,-0.12242641299963,-1.0,0.0,0.0,0.0,1.44805443159845,-0.00965024589699708,0.0110794968473661,-0.0503657013177872,0.065077006816864,-0.0284526795148849
1497906158.5986,0.00183641852345318,0.00929369311779737,0.0175886321812868,0.0056098704226315,-0.992768406867981,-0.119914069771767,-1.0,0.0,0.0,0.0,1.45046089407572,-0.0432059015575056,0.0467483360054831,-0.0199101120233536,0.0445822775363922,-0.0293648038059473
1497906158.77942,-0.010872995480895,-0.00214765430428088,0.0181777533143759,0.01078144274652,-0.992755889892578,-0.119663961231709,-1.0,0.0,0.0,0.0,1.45035669110008,-0.0893726434649757,0.0898550488985991,-0.0132799223065376,0.0222606919705868,-0.0295477006584406
1497906158.96027,-0.0264205541461706,-0.026568939909339,0.0127884559333324,0.011863668449223,-0.99152797460556,-0.12935034930706,1.0,-25.3792724609375,-11.3742294311523,40.2761840820312,1.44053500202103,-0.0845969183668898,0.0914614440723787,-0.011802826076746,0.156943187117577,0.0204663686454296
1497906159.14111,0.0114783234894276,0.0145662995055318,0.00547049939632416,0.0119134001433849,-0.989618182182312,-0.143226847052574,1.0,-25.45458984375,-11.2990798950195,39.451904296875,1.42657542619046,-0.0703855714137304,0.0829875045535355,0.0886541157960892,0.170634269714355,0.167906433343887
1497906159.32194,0.0329960845410824,-0.0274905115365982,0.0070660118944943,0.0011836044723168,-0.991552472114563,-0.129700899124146,1.0,-25.8316955566406,-10.7752151489258,39.0817260742188,1.44072355480295,0.0541813378654763,0.00912539258040967,0.232670441269875,0.185710474848747,0.200632691383362
1497906159.50278,0.00344359781593084,0.00524599244818091,0.0507468804717064,0.000889898277819157,-0.992794811725616,-0.119823418557644,1.0,-25.8331909179688,-10.3996658325195,37.9598999023438,1.45068097952004,0.0940482562449676,0.007426610814833,0.0117909600958228,0.00621548527851701,-0.00366859836503863
1497906159.68363,0.0227554626762867,-0.065751239657402,0.0423112064599991,0.0185348205268383,-0.993071377277374,-0.116041675209999,1.0,-25.9837646484375,-10.249885559082,37.361328125,1.4530115777883,-0.0753091923835129,0.158387653213329,-0.0542613416910172,-0.0792630463838577,0.0172373875975609
1497906159.86445,-0.0473096184432507,-0.0161414537578821,-0.0164444725960493,0.0232159923762083,-0.995226323604584,-0.0947920978069305,1.0,-26.5846557617188,-10.0266494750977,36.6888427734375,1.47304706664264,-0.185111183033309,0.240186933414229,0.145048677921295,-0.494410157203674,-0.0298288986086845
1497906160.0453,-0.0248591024428606,0.0412166155874729,-0.00962713081389666,0.0236078817397356,-0.995577573776245,-0.0909282863140106,1.0,-27.7090454101562,-10.1808242797852,37.138671875,1.47671460378511,-0.238803186583447,0.254023198945224,-0.0298319570720196,-0.0962285473942757,0.0144472168758512
1497906160.22614,-0.0181848276406527,0.0666277930140495,-0.00103172950912267,0.0302240122109652,-0.994392693042755,-0.101339489221573,1.0,-28.0867309570312,-9.50650787353516,35.8697509765625,1.46484765649336,-0.270743351475626,0.289846085634536,-0.156757697463036,-0.178993478417397,-0.158314362168312
1497906160.40694,-0.0398738607764244,-0.103158257901669,-0.0481154918670654,0.0209071878343821,-0.995260953903198,-0.0949661731719971,1.0,-28.6123352050781,-9.35808563232422,35.3465576171875,1.4734020820486,-0.208941423200113,0.216697235782034,0.0713226869702339,0.0706412196159363,0.163134843111038
1497906160.58779,0.0138239236548543,-0.0274478048086166,-0.0500504598021507,0.0083623556420207,-0.99731719493866,-0.0727217569947243,1.0,-28.6915283203125,-8.30814361572266,34.9055786132812,1.49752981981905,-0.0672577267918266,0.114488255139258,0.0572596564888954,0.536605834960938,0.0859236717224121
1497906160.76864,0.0205942671746016,0.118612505495548,0.0459843724966049,-0.00098672229796648,-0.996343851089478,-0.0854283422231674,1.0,-29.2207641601562,-7.25962066650391,34.1650390625,1.48525801482843,0.066576913810089,-0.0115497788066451,0.0168559979647398,0.301702976226807,0.143807858228683
1497906160.94945,0.0234619621187449,-0.10581099241972,-0.0566741228103638,0.0154479499906301,-0.997231602668762,-0.0727356672286987,1.0,-28.9984436035156,-6.58391571044922,34.3204956054688,1.49636960554736,-0.153374102123602,0.209275167725098,0.17560912668705,0.106945917010307,-0.0205855034291744
1497906161.1303,-0.0321821719408035,0.0561389401555061,0.0415772907435894,0.0167250204831362,-0.996095597743988,-0.0866822749376297,1.0,-29.2267456054688,-5.75965118408203,34.1777954101562,1.48240020987815,-0.146803160328038,0.190604003554129,-0.282138466835022,0.030721265822649,0.11169845610857
1497906161.31114,-0.0432385578751564,0.0817479118704796,-0.106404587626457,0.0122021799907088,-0.994009852409363,-0.10860700905323,1.0,-28.483642578125,-4.03145599365234,32.99169921875,1.46128725243313,-0.0624942931959943,0.111882489270751,0.145033702254295,-0.140070497989655,-0.0362910144031048
1497906161.49195,0.0265151374042034,-0.150870591402054,-0.13947306573391,0.00896154716610909,-0.995781660079956,-0.0913161113858223,1.0,-27.5860595703125,-3.42821502685547,32.7708740234375,1.47891229779054,-0.044598851552087,0.0978243836836257,0.124813757836819,0.232547700405121,-0.0476234219968319
